Qty,Manufacture Part Number,Digikey Part Number,Description
1,1330180000,281-3995-ND,TERM BLK 2POS TOP ENTRY 5MM PCB
1,0297005.U,F6075-ND,FUSE AUTO 5A 32VDC BLADE MINI
3,1825960000,281-2124-ND,TERM BLK 2POS TOP ENTRY 5MM PCB
2,25PK470MEFC8X11.5,1189-1733-ND,CAP ALUM 470UF 20% 25V RADIAL
4,PPPC151LFBN-RC,S7048-ND,CONN HDR 15POS 0.1 GOLD PCB
2,A750EK476M1EAAE040,399-13665-ND,CAP ALUM POLY 47UF 20% 25V T/H
1,ETQ-P5M680YFM,10-ETQ-P5M680YFMCT-ND,FIXED IND 66UH 2.3A 276.1MOHM SM
2,D5V0L1B2WS-7,D5V0L1B2WS-7DICT-ND,TVS DIODE 5VWM 14VC SOD323
1,TV04A120JB-G,641-1235-1-ND,TVS DIODE 12VWM 19.9VC SMA
1,PMEG6030EVPX,1727-1349-1-ND,DIODE SCHOTTKY 60V 3A SOD128
1,MAX1626ESA+T,MAX1626ESA+TCT-ND,IC REG CTRLR BUCK 8SOIC
1,SN74LVCC3245ANSR,296-17208-1-ND,IC TRNSLTR BIDIRECTIONAL 24SO
1,CL21B474KAFNNNE,1276-1074-1-ND,CAP CER 0.47UF 25V X7R 0805
1,CSR1206FT50L0,CSR1206FT50L0CT-ND,RES 0.05 OHM 1% 1/2W 1206
1,AO3407A,785-1006-1-ND,MOSFET P-CH 30V 4.3A SOT23-3L
1,PJ-047AH,CP-047AH-ND,CONN PWR JACK 2X5.5MM SOLDER
2,RC0805JR-071KL,311-1.0KARCT-ND,RES 1K OHM 5% 1/8W 0805
2,3557,36-3557-ND,FUSE CLIP BLADE 500V 30A PCB
3,08055C104KAT2A,478-1395-1-ND,CAP CER 0.1UF 50V X7R 0805
2,RC0805FR-0762RL,311-62.0CRCT-ND,RES 62 OHM 1% 1/8W 0805
